"DRAFT: Voting Method & Tabulation Universe, V1.0","L. Lochridge - Editor and Working Group Chair, George Gilbert, Chris Hughes - Editor & Legislation Expert,  Herb Deutsch, Celeste Landry","STATUS: DRAFT - Work In Progress Voting Methods and Tabulation Universe, a spreadsheet that contains our 'ground truth' research results for the knowledge and interpretation of the plain language algorithmic definitions of voting methods in use in practice, extracted from authoritative sources (legislation, Election Official (EO) documents), with all links to the original source of legislation, statute, local rules or EO documentation of practice.",,,,,,,,,,,,,
Category,Label,Plain Language,Rules,Jurisdiction,Accountable,Responsible,Link to Authoritative Source Document(s),Scope,Process Associations,Object/Thing Assoc,Artifact,Method,Module,NIST/TGDC/Standard/Spec,Misc. Note
Example Rule: ,,,,,,,,,,,,,,,
Counting,Overvote,"If a ballot is marked in each of two or more target areas or sensitive areas for a candidate whose name appears on the ballot more than once for the same office, and the total number of votes cast for such race for different candidates does not exceed the number for which he or she is lawfully entitled to vote, only the first vote for such candidate with multiple markings shall be counted for such candidate.","NY Rules and Regulations § 6210.13(7) If a ballot is marked in each of two or more target areas or sensitive areas for a candidate whose name appears on the ballot more than once for the same office, and the total number of votes cast for such race for different candidates does not exceed the number for which he or she is lawfully entitled to vote, only the first vote for such candidate with multiple markings shall be counted for such candidate.","NY Rules and Regulations § 6210.13(7) Standards for determining valid votes
",,,https://govt.westlaw.com/nycrr/Document/I4fa94c82cd1711dda432a117e6e0f345?viewType=FullText&originationContext=documenttoc&transitionType=CategoryPageItem&contextData=(sc.Default),,,,,,,,
Vote,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Input ,,,,,,,,,,,,,,,
Vote Selection Data Set,CastVoteRecord,A vote selection data set representing from 1 to n ballots is required as a prerequisite to Tabulation,,,,VM-WG,The process named Tally Ballots incloses the creation of the CVR vote selection data set and tabulation of the CVRs.,,,,,,,,
Vote Selection Data Set,CastVoteRecordReport (CVRR),"A summarization of one or more CastVoteRecords or an aggregation of CastVoteRecords in the form of CastVoteRecordReports, in the CVR CDF may satisfy the CastVoteRecord Input requirement",,,,VM-WG,Process 3.1.3 Tally Tally the ballot selections in order to report election results,,,,"CVR, CVRR",ALL,,Cast Vote Record Spec. at NIST Voting Twiki,
Vote Selection Data Set,CastVoteRecord (CVR),A vote selection data set represented in the CVR CDF satisfies the CastVoteRecord Input requirement.,,,,,,,,,,,,Elections Process Model,
Configuration,Configuration,A Configuration is required as a prerequisite to Tabulation,,,,VM-WG,Election Process Model PO1.3.D1,,,,Elections Process Model PO1.3.D1,ALL,,Elections Process Model,
Configuration,SampleBallotSet,A sample ballot set is required as a prerequisite to validation of configuration,Configuration Management (and Logic & Accuracy Testing) sample ballot deck is required,,,,,,,,,ALL,,Elections Process Model,
